student_id,study_hours,sleep_hours,attendance_pct,previous_grade,tutoring,school_type,exam_score,passed
1,2.9,7.5,95,58,no,charter,71.2,yes
2,10.2,6.4,87,36,no,public,77.7,yes
3,5.7,5.3,71,47,yes,public,78.9,yes
4,7.1,6.3,81,66,yes,charter,87.6,yes
5,0.5,6.1,92,70,yes,charter,65.2,yes
6,6.9,4.7,100,65,yes,public,83.7,yes
7,9.2,7.7,86,54,yes,private,85.7,yes
8,11.6,7.3,87,68,no,public,94.3,yes
9,8.4,8.3,93,75,yes,public,94.5,yes
10,12.6,7.3,95,77,yes,public,100,yes
11,6.3,5.9,84,70,yes,public,79.1,yes
12,5.1,8.3,82,40,yes,charter,66.6,yes
13,6.0,7.8,83,32,yes,charter,80.5,yes
14,4.4,10.0,91,67,no,private,89.5,yes
15,7.8,8.7,92,69,no,charter,92.7,yes
16,3.2,7.9,86,60,yes,private,75.9,yes
17,2.6,,,62,no,charter,69.0,yes
18,5.3,6.1,61,85,no,public,77.0,yes
19,8.8,7.7,83,35,no,charter,74.0,yes
20,1.7,,73,44,no,charter,61.3,yes
21,7.0,7.0,89,69,no,private,85.2,yes
22,3.5,7.3,81,65,no,public,67.9,yes
23,2.5,7.0,92,60,yes,private,70.5,yes
24,9.6,6.3,76,75,no,private,89.8,yes
25,10.4,5.7,75,77,no,public,95.6,yes
26,8.2,7.9,83,72,no,public,92.7,yes
27,4.1,5.3,93,49,no,public,66.7,yes
28,4.2,5.9,96,47,no,private,66.1,yes
29,6.8,4.9,90,64,yes,charter,74.5,yes
30,5.2,,78,60,no,charter,64.2,yes
31,0.1,6.3,51,65,yes,private,62.2,yes
32,2.8,6.0,92,75,yes,private,87.5,yes
33,7.0,6.0,72,100,yes,charter,98.8,yes
34,2.7,6.6,88,51,no,private,77.7,yes
35,8.3,7.6,,58,no,public,82.0,yes
36,10.9,6.0,64,20,no,charter,75.5,yes
37,0,7.1,91,70,no,charter,59.3,no
38,9.9,6.0,82,45,no,public,87.4,yes
39,5.6,8.4,81,69,yes,charter,78.4,yes
40,8.2,7.6,85,72,no,private,92.5,yes
41,5.7,8.3,92,76,no,charter,82.4,yes
42,7.5,7.0,83,68,no,private,89.3,yes
43,9.2,8.2,94,77,no,charter,97.5,yes
44,8.9,6.3,84,71,no,public,94.4,yes
45,7.1,6.3,84,40,yes,private,69.6,yes
46,2.8,9.1,97,69,no,public,75.7,yes
47,5.5,6.2,73,47,yes,public,65.7,yes
48,5.0,6.3,,91,yes,private,87.8,yes
49,2.8,6.9,89,72,yes,public,82.5,yes
50,0,8.3,82,66,no,private,58.5,no
51,9.9,7.2,89,58,no,private,91.2,yes
52,3.5,9.5,87,72,no,private,71.6,yes
53,3.7,8.7,84,72,no,public,76.9,yes
54,3.7,7.2,68,46,yes,private,71.8,yes
